odsCode,cdbNumber
FDC27,600040977
FDC39,600039138
FDC53,600034612
FDC60,600088701
FDC63,600034615
FDC65,600043769
FDC87,600034620
FDC89,600034621
FDD08,600034623
FDD30,600034628
FDD67,600034633
FDD68,600000382
FDD71,600034634
FDD79,600034636
FDD84,600034637
FDD96,600034640
FDE08,600034642
FDE23,600034647
FDE39,600035128
FDE47,600034649
FDE75,600034651
FDE79,600034652
FDF09,600034654
FDF16,600034656
FDF19,600034658
FDF27,600034660
FDF31,600034661
FDF32,600034662
FDF35,600034663
FDF46,600034664
FDF64,600034665
FDF72,600034666
FDF74,600034667
FDF79,600034668
FDF87,600034670
FDG33,600034673
FDG35,600034674
FDG60,600034676
FDG70,600040055
FDG73,600034679
FDG75,600034680
FDG90,600034681
FDH02,600034683
FDH13,600034684
FDH15,600034685
FDH18,600034686
FDH21,600034688
FDH26,600034690
FDH31,600034692
FDH51,600033785
FDJ03,600034700
FDJ19,600034703
FDJ32,600034704
FDJ72,600043125
FDJ84,600034709
FDK02,600034711
FDK05,600034712
FDK08,600034713
FDK14,600034714
FDK32,600034717
FDK37,600034719
FDK51,600034722
FDK64,600041412
FDK67,600034725
FDK71,600036408
FDK93,600034729
FDL01,600041947
FDL08,600000643
FDL22,600034736
FDL37,600043156
FDL50,600043800
FDL52,600034741
FDL64,600034746
FDL70,600035053
FDL72,600000819
FDL81,600038599
FDL90,600036592
FDL91,600041316
FDL95,600034945
FDM06,600034751
FDM21,600034754
FDM43,600034755
FDM72,600000783
FDM78,600036903
FDM89,600034757
FDN07,600042831
FDN20,600034760
FDN22,600034761
FDN26,600034763
FDN29,600034014
FDN39,600034767
FDN49,600041825
FDN63,600035351
FDN73,600034771
FDN74,600034772
FDN82,600034773
FDN85,600034775
FDN93,600034778
FDO83,600043768
FDP00,600034779
FDP02,600043812
FDP07,600034782
FDP16,600034784
FDP34,600034790
FDP62,600036346
FDP63,600034794
FDP74,600034797
FDP99,600037727
FDQ13,600041542
FDQ17,600034805
FDQ29,600034808
FDQ48,600034814
FDQ50,600034815
FDQ84,600034818
FDR30,600034828
FDR43,600034831
FDR49,600042681
FDR59,600034833
FDR65,600034834
FDR78,600001245
FDR86,600038753
FDR89,600034838
FDR90,600041421
FDR92,600034839
FDR951,600035221
FDT00,600041127
FDT12,600034843
FDT21,600000937
FDT31,600035615
FDT34,600034849
FDT37,600034850
FDT46,600039813
FDT50,600036854
FDT60,600035874
FDT70,600034855
FDT71,600035386
FDT85,600034856
FDT86,600034857
FDT87,600034858
FDT91,600037795
FDV08,600034862
FDV31,600035360
FDV33,600000571
FDV38,600034864
FDV51,600034866
FDV53,600034867
FDV73,600035233
FDV77,600034870
FDV91,600086571
FDV92,600034873
FDW12,600092591
FDW13,600038999
FDW35,600034879
FDW42,600035807
FDW45,600034880
FDW52,600034881
FDW83,600034886
FDW87,600001276
FDW90,600034350
FDW95,600037090
FDX30,600040793
FDX41,600037175
FDX42,600034894
FDX58,600034899
FDX68,600034903
FDX70,600034904
FDX88,600034907
FDX94,600034909
FDY08,600034911
FDY09,600001164
FDY10,600034912
FDY14,600034994
FDY35,600034913
FDY44,600043770
FDY49,600036566
FDY54,600034915
FDY75,600034918
FDY85,600036864
FDY87,600034921
FDY88,600034922
FE003,600000813
FE004,600034924
FE006,600034925
FE018,600034928
FE026,600034933
FE042,600037141
FE044,600034937
FE047,600034938
FE049,600034939
FE054,600034941
FE055,600034942
FE077,600034949
FE097,600034954
FE106,600034955
FE152,600034965
FE163,600034969
FE164,600034970
FE174,600034973
FE181,600034974
FE186,600034976
FE188,600034978
FE204,600034984
FE205,600034985
FE215,600034987
FE230,600034990
FE246,600034991
FE255,600035930
FE259,600039890
FE260,600034993
FE288,600034999
FE289,600035000
FE294,600038364
FE295,600035001
FE308,600035003
FE318,600098921
FE319,600098421
FE320,600035008
FE323,600035009
FE336,600035011
FE348,600035013
FE360,600035015
FE361,600037468
FE369,600000860
FE374,600035016
FE379,600035017
FE385,600035018
FE394,600035020
FE397,600035022
FE403,600001155
FE404,600035024
FE423,600035028
FE434,600035029
FE452,600041436
FE454,600035033
FE480,600035037
FE483,600036127
FE492,600035040
FE508,600035042
FE513,600035043
FE521,600035044
FE534,600087761
FE548,600035046
FE564,600037344
FE575,600043062
FE584,600034475
FE590,600035049
FE597,600035051
FE606,600035054
FE612,600035055
FE649,600035059
FE658,600035062
FE685,600035069
FE691,600035071
FE699,600035075
FE703,600035077
FE712,600035082
FE714,600000280
FE723,600035084
FE727,600035085
FE729,600035086
FE733,600035087
FE736,600001080
FE758,600035090
FE776,600035092
FE785,600035094
FE788,600000996
FE793,600042188
FE805,600035097
FE841,600035101
FE843,600035102
FE845,600035104
FE862,600037098
FE880,600035110
FE883,600035111
FE890,600035113
FE912,600035116
FE952,600035119
FE985,600035120
FE995,600035122
FE997,600035123
FEA00,600035124
FEA03,600035126
FEA06,600042867
FEA35,600000393
FEA47,600042982
FEA53,600038171
FEA64,600035133
FEA80,600035688
FEA83,600035134
FEA90,600035135
FEC01,600035138
FEC09,600035141
FEC14,600035142
FEC17,600035143
FEC33,600034174
FEC34,600038842
FEC38,600043099
FEC53,600040157
FEC57,600035056
FEC61,600035150
FEC64,600039141
FEC70,600040501
FEC88,600033940
FEC90,600042005
FED01,600035155
FED17,600035157
FED28,600035158
FED34,600035160
FED38,600035161
FED61,600035164
FED72,600041724
FED84,600040287
FED94,600093661
FEE04,600043518
FEE11,600035171
FEE20,600035172
FEE21,600035173
FEE33,600035174
FEE48,600035176
FEE74,600035178
FEE95,600035181
FEE96,600035182
FEE99,600035183
FEF01,600035184
